genesymbol
INS
ATP5F1B
ATP5IF1
KCNJ11
GAPDH
SLC2A1
CACNA1D
NDUFS1
COX11
IDH3A
UQCRQ
PGAM2
HLA-A
HLA-B
HLA-C
PFKFB4
ERN1
PC
SDHC
OGDH
EIF2AK3
GCK
